user_id,screen_name,created_at,text,favourites_count,retweet_count
1240137905638686720,shoakumv,2021-10-07T00:36:07Z,my friend brought me coffee just now https://t.co/whhIxpUImT https://t.co/EDfoQ8qNJr,28656,0
1240137905638686720,shoakumv,2021-10-06T21:29:11Z,"I ate so much food and im sleepy, but im at work SOS someone send me coffee pls 😵‍💫",28656,0
534987542,str8nubbn,2021-10-07T00:36:04Z,@Gothalion @GameDadJP I knew the coffee thing was a coke front.  The streaming and YT is just for laundering.,32038,0
240754918,jheeselyn,2021-10-07T00:35:56Z,"#ONGSEONGWU, after so many ups and downs, knows nothing about coffee, learning with only passion—has became the best student of coffee master (Park Hosan).
He will potray Kang Gobi who is growing little by little while learning about coffee &amp; people, in his own style. https://t.co/kMsnDMOBEJ",10483,0
240754918,jheeselyn,2021-10-06T23:46:25Z,"“The magic of a cup of coffee that made by barista #ONGSEONGWU and owner Park Hosan’s warm &amp; serious heart about coffee &amp; people☕️
Let’s enjoy it together at 2nd coffee🤎” https://t.co/5ZU0pAJ1RR",10483,11
240754918,jheeselyn,2021-10-07T00:13:23Z,"The phrase in the poster “a cup coffee from CEO has changed my life” draws curiousity—what caused Kang Gobi made an important change of his life from an ordinary student (preparing for college entrance test) to become student of coffee master Park Seok”

https://t.co/c7ptnTijt3 https://t.co/PHEC5NsP4l",10483,4
1432398969452175361,lokeshr61437607,2021-10-07T00:35:55Z,what u r going now to drink coffee or can we talk for sometime?,0,0
1432398969452175361,lokeshr61437607,2021-10-06T18:00:44Z,"had a great time with hitu, enjoyed the lunch, did pooja there, and had some nice coffee at 5, and nandhitha r coming on sunday itseems, we r doing here naty kodi's shanagulu, u like that no......., anyways, we will have a great time on sunday, they will be here till wednesday!",0,0
222704624,_bananasocks,2021-10-07T00:35:50Z,Not me crying over breaking my little ghost iced coffee cup. 😩,3290,0
1378539895946407937,PublicShawnelle,2021-10-07T00:35:48Z,@Filard25 @hopeygilmore Ahhh! I prefer teas. I'm caffeine sensitive so coffee is a no no for me!,1646,0
1378539895946407937,PublicShawnelle,2021-10-06T18:48:12Z,"@hopeygilmore I don't grasp people's love for coffee. I'm neutral.

Also, why do people like buttered popcorn?",1646,0
1368760684398403587,JasonMarcHarri1,2021-10-07T00:35:41Z,"@teachrobotslove Since you like a lot of coffee, a kid will help you drink even more.",2658,0
134607885,KeithRBarber,2021-10-07T00:35:40Z,@AndrewBoff @beanandbubble Agreed - best coffee by far. Love the camper van. 👌,3830,0
1435410327647174660,CYC_Chicago,2021-10-07T00:35:39Z,"Another reminder to please join @LAURA_N_ROD @DarcelTribune @MidnoirCowboy @evanFmoore @ballesteros_312 @_ismaperez @erinhooley for conchas coffee and conversation in La Villita this Friday at 7:15 at St. Agnes of Bohemia School, we'd love to have you! 
 https://t.co/1c4ccs4CkZ",15,1
24712706,coffee_cup101,2021-10-07T00:20:38Z,Heroic FBI Agent Tackles Parent Expressing Concern For Student's Education https://t.co/A1WKOUBTLd via @TheBabylonBee LOL #FBI #AG #Garland #CRT #BidenDisaster #CorruptDemocrats,14584,0
24712706,coffee_cup101,2021-10-07T00:35:38Z,"Is the Coronavirus Stronger Than White Guilt?, by @jtLOL https://t.co/ogDwK3J1Pp #StopAsianHate #socialjustice #EMMYS2021 #MetGala #MaskUpExceptElites @karmasjanitor #equity #SubscribeNow Subscribe today to this substack",14584,0
930434943699873792,Bxiy_,2021-10-07T00:35:36Z,Coffee is always a good idea,3634,0
1038490045,korinichole15,2021-10-07T00:35:35Z,the answer is iced coffee https://t.co/mqVo0YZ8W3,22104,0
1330009181609283587,SERIALXILLER,2021-10-07T00:35:35Z,"@YAOIBASERP What do you like to have, coffee, tea or milk in the morning?",4847,0
3953329695,cacouteau,2021-10-07T00:35:31Z,"@nammam Yep, I make a polyphenol/flavonoid rich drink from Black tea/Green tea/Coffee/Cocoa/mixed with juice from Grapes/Pomegranates/Cranberry/Blueberry or Blackberry. Ends up tasting a bit like cherry coke.",80203,0
1365122202991927300,CallMeSomethin5,2021-10-07T00:35:31Z,@Kimochi_Channel Idk if one of those mfs slide off of a coffee table and lands on the analog it’s a 75% chance it’s fucked.,3562,0
1149429035992256518,sugasidepiece,2021-10-07T00:35:31Z,Coffee https://t.co/8HhCfQFnSO,49387,0
1402510674983624711,ih8experts,2021-10-07T00:35:30Z,Coffee and garlic are my two favourite smells.,5341,0
953898624605474817,SoftGhost,2021-10-07T00:35:30Z,@Strwbrry_Coffee He’s my sister’s 🥺💖💖,111423,0
1364775427550699520,notcoffeebot,2021-10-06T21:46:21Z,I'm currently not drinking coffee and I don't have to pee right now.,0,0
1364775427550699520,notcoffeebot,2021-10-06T20:36:40Z,I'm still not drinking coffee and I don't have to pee right now.,0,0
1364775427550699520,notcoffeebot,2021-10-06T23:55:48Z,I'm still not drinking coffee and I don't have to pee right now.,0,0
1364775427550699520,notcoffeebot,2021-10-06T21:36:01Z,I'm currently not drinking coffee and I'm not hyperactive.,0,0
1364775427550699520,notcoffeebot,2021-10-06T22:06:20Z,I'm currently not drinking coffee and I'm happy.,0,0
1364775427550699520,notcoffeebot,2021-10-06T18:06:26Z,I'm currently not drinking coffee and that's fine.,0,0
1364775427550699520,notcoffeebot,2021-10-06T18:46:10Z,I'm really not drinking coffee and I'm at peace with that.,0,0
1364775427550699520,notcoffeebot,2021-10-06T20:06:05Z,I'm still not drinking coffee and I'm at peace with that.,0,0
1364775427550699520,notcoffeebot,2021-10-06T21:56:12Z,I'm currently not drinking coffee and everything's going swimmingly.,0,0
1364775427550699520,notcoffeebot,2021-10-07T00:25:41Z,I'm really not drinking coffee and I don't have the jitters.,0,0
1364775427550699520,notcoffeebot,2021-10-06T23:16:13Z,I'm still not drinking coffee and I don't have the jitters.,0,0
1364775427550699520,notcoffeebot,2021-10-06T19:56:36Z,I'm currently not drinking coffee and that's fine.,0,0
1364775427550699520,notcoffeebot,2021-10-07T00:35:28Z,I'm still not drinking coffee and that's okay.,0,0
1364775427550699520,notcoffeebot,2021-10-07T00:05:48Z,I'm really not drinking coffee and everything's going swimmingly.,0,0
1364775427550699520,notcoffeebot,2021-10-06T20:16:26Z,I'm still not drinking coffee and I'm happy.,0,0
